id,short_id,source,target,type,name,weight,description,description_embedding,text_unit_ids,document_ids,attributes
4a9f574b-6511-446c-9ee9-f69faf269676,beec6217-8048-4dc4-bd57-23a4ab975ad4,e799b0cd,93c37490,源自,源自,1.0,,,"[""e9843473""]",,"{""source_id"": 0}"
51dd7d90-08b1-4c5f-8df5-652b5a4c16e8,7c7549ab-65bc-47a1-a37f-5ac5ac995d95,e799b0cd,2500d37c,强调,强调,1.0,,,"[""1a304d73""]",,"{""source_id"": 0}"
e6bb0cbf-947d-4fc6-87b2-588664ef2dab,583773e8-c4e7-4f21-bd7a-ffb45dfcaad8,3f8c9259,5bc9b4fb,强调,强调,1.0,,,"[""e3d78e59""]",,"{""source_id"": 0}"
87ed6b80-102e-40f4-990f-3dc8f1beb471,ce0307bc-57f0-4fa4-aad5-2b5d7f845203,e799b0cd,896bccae,强调,强调,1.0,,,"[""0e134568""]",,"{""source_id"": 0}"
ad61f354-a06c-4106-be14-96f63f39efcf,c692e6a0-97ca-4bbc-a445-f01d588145d2,e799b0cd,27cec0cd,强调,强调,1.0,,,"[""6c666f88""]",,"{""source_id"": 0}"
1f0e1832-84ca-4875-b8e2-360b852a91ff,57a429f4-2e92-4230-a2f4-d2b08c29acdb,e799b0cd,651eefaa,强调,强调,1.0,,,"[""09c11ac1""]",,"{""source_id"": 0}"
52b7b069-f1d6-4572-b353-b8f4c24ac8e6,a894bb5b-aef8-4099-aed9-1c3941467841,e799b0cd,e8975308,并重,并重,1.0,,,"[""37fd13c3""]",,"{""source_id"": 0}"
33bc18ef-d4a9-4045-8543-ce095e8a947b,614a80c3-8627-41ec-a2c2-a3b22bcc900e,e799b0cd,4965afc4,并重,并重,1.0,,,"[""2858b95c""]",,"{""source_id"": 0}"
188abdba-eedb-4dd5-8873-adae10f129a7,521ad44a-9079-46df-8f90-fa917056fc70,f179186f,482e8a32,源自,源自,1.0,,,"[""90301361""]",,"{""source_id"": 0}"
6e7c42b0-0a84-4a40-918f-078ddba0e1ae,918b9ef3-39ee-4f48-a081-ac0a6307fe7c,97884e98,ac7bcf48,源自,源自,1.0,,,"[""9674b4e3""]",,"{""source_id"": 0}"
df23a4de-4df0-459a-a698-564f0b1c62eb,8c70b4f8-d40d-4cae-a21f-3b4e357bdad4,ac7bcf48,d225f08a,强调,强调,1.0,,,"[""f4f5bc94""]",,"{""source_id"": 0}"
80d4fd95-71e8-4c14-8941-44749cb8851f,faccd636-df48-435c-88cf-f6710ba24e03,ac7bcf48,e2ed32ac,强调,强调,1.0,,,"[""6ef7c3f6""]",,"{""source_id"": 0}"
6c625a59-ffbd-4f5b-9c75-94e0350930c3,7dd05d8f-c0f2-4a5e-93d6-f52d1b3095ae,ac7bcf48,b89d9a79,并重,并重,1.0,,,"[""118ac645""]",,"{""source_id"": 0}"
c5422cd2-91e9-4343-a64f-f36c41788f3f,42a33987-5a35-47d4-81b2-371680ae708b,32a112e7,57ef951c,关联,关联,1.0,,,"[""65f5941b""]",,"{""source_id"": 0}"
3c043b77-57d9-4e16-965d-34c52ab40365,0fe4832b-9bda-4d68-bc05-e55073ee7b15,fb0a523f,89fe6009,源自,萌芽时期,1.0,,,"[""ace1a4a0""]",,"{""source_id"": 0}"
a9d27f9e-4db8-4344-bf46-bfae4c3b0c41,26396be4-baa6-4a0f-94c7-6ff3a698f321,992ad94f,177c2538,源自,形成,1.0,,,"[""4d3dee72""]",,"{""source_id"": 0}"
d614516f-386b-42c0-bdab-b869e4c18bb5,a7160dc3-4cae-4c0d-bc1e-a816373f1d57,33987f5b,886c15bb,强调,教育目的,1.0,,,"[""b23311e7""]",,"{""source_id"": 0}"
02c86836-0157-4b81-af21-8fe2e5ecd73b,0d965127-136c-4c29-9598-e29ac2ad01c5,33987f5b,aeb8cd82,提出,教学内容,1.0,,,"[""eaf5ac56""]",,"{""source_id"": 0}"
